Field,FieldRef,FieldSize,Action,Date,Category,Type,Description,Crop,Operator,Area_Hctrs,QtyPerHctr,CostPerHctr,TotalQty,UoM,Total,Comment,Weather,WindSpeed,TimeIn,TimeOut,GrowthStage
Back of Pub (Part A) Huntington,#3289,3.28,Spray,13/04/2016,Events/Actions,Arable Physical Actions,Spray,,Sean Lewis,2.97,1.00,0.00,2.97,Hctr,0.00,,,,,,
Back of Pub (Part A) Huntington,#3289,3.28,Fathom tebuconazole,13/04/2016,Chemicals,Fungicides,Fathom tebuconazole,,Sean Lewis,2.97,0.50,4.60,1.49,Litres,13.66,,Clear,0.5,11:00,15:45,38
Back of Pub (Part A) Huntington,#3289,3.28,Headland Cereal Plus 2019,13/04/2016,Chemicals,Trace Element,Headland Cereal Plus 2019,,Sean Lewis,2.97,2.17,30.34,6.44,Litres,90.10,,Clear,0.5,11:00,15:45,38
Back of Pub (Part A) Huntington,#3289,3.28,Belcocel 700 chlormequat,13/04/2016,Chemicals,Growth Regulators,Belcocel 700 chlormequat,,Sean Lewis,2.97,1.00,1.45,2.97,Litres,4.31,,Clear,0.5,11:00,15:45,38
Back of Pub (Part A) Huntington,#3289,3.28,Barclay Avoca chlorothalonil,13/04/2016,Chemicals,Fungicides,Barclay Avoca chlorothalonil,,Sean Lewis,2.97,1.00,4.00,2.97,Litres,11.88,,Clear,0.5,11:00,15:45,38
Back of Pub (Part A) Huntington,#3289,3.28,Lambdastar lambda-cyhalothrin,13/04/2016,Chemicals,Insecticides,Lambdastar lambda-cyhalothrin,,Sean Lewis,2.97,0.05,2.76,0.15,Litres,8.20,,Clear,0.5,11:00,15:45,38
Four Gates (Split A),#5981,7.01,Priori xtra azoxystrobin+cyproconazole,14/04/2016,Chemicals,Fungicides,Priori xtra azoxystrobin+cyproconazole,,Sean Lewis,6.95,0.88,32.87,6.11,Litres,228.48,,Cloudy,0.4,13:15,16:00,69
Four Gates (Split A),#5981,7.01,Mavrik Tau-fluvalinate,14/04/2016,Chemicals,Insecticides,Mavrik Tau-fluvalinate,,Sean Lewis,6.95,0.20,8.20,1.39,Litres,56.99,,Cloudy,0.4,13:15,16:00,69
Four Gates (Split A),#5981,7.01,"Boson Pro ",14/04/2016,Chemicals,Chemicals,"Boson Pro ",,Sean Lewis,6.95,2.00,7.60,13.90,Litres,52.82,,Cloudy,0.4,13:15,16:00,69
Garden Field (Split A),#6572,2.92,Priori xtra azoxystrobin+cyproconazole,14/04/2016,Chemicals,Fungicides,Priori xtra azoxystrobin+cyproconazole,,Sean Lewis,2.79,0.88,32.87,2.45,Litres,91.70,,Cloudy,0.4,13:15,16:00,69
Garden Field (Split A),#6572,2.92,Mavrik Tau-fluvalinate,14/04/2016,Chemicals,Insecticides,Mavrik Tau-fluvalinate,,Sean Lewis,2.79,0.20,8.20,0.56,Litres,22.88,,Cloudy,0.4,13:15,16:00,69
Garden Field (Split A),#6572,2.92,"Boson Pro ",14/04/2016,Chemicals,Chemicals,"Boson Pro ",,Sean Lewis,2.79,2.00,7.60,5.58,Litres,21.20,,Cloudy,0.4,13:15,16:00,69
"Bayley Hills N (A) ",#1978,19.12,Priori xtra azoxystrobin+cyproconazole,14/04/2016,Chemicals,Fungicides,Priori xtra azoxystrobin+cyproconazole,,Sean Lewis,19.12,0.88,32.87,16.81,Litres,628.54,,Cloudy,0.4,13:15,16:00,69
"Bayley Hills N (A) ",#1978,19.12,Mavrik Tau-fluvalinate,14/04/2016,Chemicals,Insecticides,Mavrik Tau-fluvalinate,,Sean Lewis,19.12,0.20,8.20,3.82,Litres,156.78,,Cloudy,0.4,13:15,16:00,69
"Bayley Hills N (A) ",#1978,19.12,"Boson Pro ",14/04/2016,Chemicals,Chemicals,"Boson Pro ",,Sean Lewis,19.12,2.00,7.60,38.24,Litres,145.31,,Cloudy,0.4,13:15,16:00,69
Four Gates (Split A),#5981,7.01,Yara Amidas 40N + 14SO3,15/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,6.95,216.00,55.51,1501.20,Kgs,385.81,,,,,,
Motorway Steeraway,1624,7.82,Fertiliser,19/04/2016,Events/Actions,Arable Physical Actions,Fertiliser,,Sean Lewis,7.82,1.00,0.00,7.82,Hctr,0.00,,,,,,
Oak Tree Huntington,8884,5.2,Fertiliser,19/04/2016,Events/Actions,Arable Physical Actions,Fertiliser,,Sean Lewis,4.99,1.00,0.00,4.99,Hctr,0.00,,,,,,
Shepherds Huntington,0875,4.62,Fertiliser,19/04/2016,Events/Actions,Arable Physical Actions,Fertiliser,,Sean Lewis,4.37,1.00,0.00,4.37,Hctr,0.00,,,,,,
Rough Huntington,5861,7.39,Fertiliser,19/04/2016,Events/Actions,Arable Physical Actions,Fertiliser,,Sean Lewis,6.68,1.00,0.00,6.68,Hctr,0.00,,,,,,
Hospital Steeraway,7520,7.13,Fertiliser,19/04/2016,Events/Actions,Arable Physical Actions,Fertiliser,,Sean Lewis,6.00,1.00,0.00,6.00,Hctr,0.00,,,,,,
Lower New Works Steeraway,SJ6550,4.11,Fertiliser,19/04/2016,Events/Actions,Arable Physical Actions,Fertiliser,,Sean Lewis,4.11,1.00,0.00,4.11,Hctr,0.00,,,,,,
Upper New Works Steeraway,SJ6600,13.99,Fertiliser,19/04/2016,Events/Actions,Arable Physical Actions,Fertiliser,,Sean Lewis,13.99,1.00,0.00,13.99,Hctr,0.00,,,,,,
Motorway Steeraway,1624,7.82,Yara Amidas 40N + 14SO3,19/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,7.82,150.00,38.55,1173.00,Kgs,301.46,,,,,,
Oak Tree Huntington,8884,5.2,Yara Amidas 40N + 14SO3,19/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,4.99,150.00,38.55,748.50,Kgs,192.36,,,,,,
Shepherds Huntington,0875,4.62,Yara Amidas 40N + 14SO3,19/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,4.37,150.00,38.55,655.50,Kgs,168.46,,,,,,
Rough Huntington,5861,7.39,Yara Amidas 40N + 14SO3,19/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,6.68,150.00,38.55,1002.00,Kgs,257.51,,,,,,
Hospital Steeraway,7520,7.13,Yara Amidas 40N + 14SO3,19/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,6.00,225.00,57.83,1350.00,Kgs,346.95,,,,,,
Lower New Works Steeraway,SJ6550,4.11,Yara Amidas 40N + 14SO3,19/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,4.11,225.00,57.82,924.75,Kgs,237.66,,,,,,
Upper New Works Steeraway,SJ6600,13.99,Yara Amidas 40N + 14SO3,19/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,13.99,225.00,57.82,3147.75,Kgs,808.97,,,,,,
Burrow Pits (Part A) Steeraway,#3304,10.71,Fertiliser,19/04/2016,Events/Actions,Arable Physical Actions,Fertiliser,,Sean Lewis,9.89,1.00,0.00,9.89,Hctr,0.00,,,,,,
Burrow Pits (Part A) Steeraway,#3304,10.71,Yara Amidas 40N + 14SO3,19/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,9.89,150.00,38.55,1483.50,Kgs,381.26,,,,,,
Opposite Rhodes (Part A) Huntington,#3301,8.5,Fertiliser,19/04/2016,Events/Actions,Arable Physical Actions,Fertiliser,,Sean Lewis,8.50,1.00,0.00,8.50,Hctr,0.00,,,,,,
Opposite Rhodes (Part A) Huntington,#3301,8.5,Yara Amidas 40N + 14SO3,19/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,8.50,225.00,57.82,1912.50,Kgs,491.51,,,,,,
Wellington Road (Part A) Huntington,#3291,4.84,Fertiliser,19/04/2016,Events/Actions,Arable Physical Actions,Fertiliser,,Sean Lewis,4.84,1.00,0.00,4.84,Hctr,0.00,,,,,,
Wellington Road (Part A) Huntington,#3291,4.84,Yara Amidas 40N + 14SO3,19/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,4.84,225.00,57.82,1089.00,Kgs,279.87,,,,,,
Back of Pub (Part A) Huntington,#3289,3.28,Fertiliser,19/04/2016,Events/Actions,Arable Physical Actions,Fertiliser,,Sean Lewis,2.97,1.00,0.00,2.97,Hctr,0.00,,,,,,
Back of Pub (Part A) Huntington,#3289,3.28,Yara Amidas 40N + 14SO3,19/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,2.97,225.00,57.82,668.25,Kgs,171.74,,,,,,
First Foxhole,SJ7120 4205,2.12,Yara Amidas 40N + 14SO3,20/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,1.20,140.00,35.98,168.00,Kgs,43.18,,,,,,
Middle Leasow (Part A),#5997,2.01,Yara Amidas 40N + 14SO3,20/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,1.77,250.00,64.25,442.50,Kgs,113.72,,,,,,
Near Cot Leasow (Part A),#5999,4.79,Yara Amidas 40N + 14SO3,20/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,4.79,250.00,64.25,1197.50,Kgs,307.76,,,,,,
Large Marsh (Part A),#3476,4.67,Yara Amidas 40N + 14SO3,20/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,4.67,250.00,64.25,1167.50,Kgs,300.05,,,,,,
Poors Land (Part A),#3535,7.5,Yara Amidas 40N + 14SO3,20/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,7.50,142.00,36.49,1065.00,Kgs,273.71,,,,,,
Four Gates (Split A),#5981,7.01,Yara Amidas 40N + 14SO3,22/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,6.95,225.00,63.45,1563.75,Kgs,440.98,,,,,,
Garden Field (Split A),#6572,2.92,Yara Amidas 40N + 14SO3,22/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,2.79,75.00,19.28,209.25,Kgs,53.78,,,,,,
Near Broad Meadow (Part A),#1606,5.1,Yara Prilled 34.5%N (del April 2015),22/04/2016,Fertilizers,Nitrogens,Yara Prilled 34.5%N (del April 2015),,Sean Lewis,5.10,290.00,81.78,1479.00,Kgs,417.08,,,,,,
"Bayley Hills N (A) ",#1978,19.12,Yara Prilled 34.5%N (del April 2015),22/04/2016,Fertilizers,Nitrogens,Yara Prilled 34.5%N (del April 2015),,Sean Lewis,6.00,290.00,74.53,1740.00,Kgs,447.18,,,,,,
"Bayley Hills N (A) ",#1978,19.12,Yara Amidas 40N + 14SO3,22/04/2016,Fertilizers,Fertilizers,Yara Amidas 40N + 14SO3,,Sean Lewis,13.12,250.00,64.25,3280.00,Kgs,842.96,,,,,,
Adney Middle Field (Pt A),#3548,3.36,Yara Prilled 34.5%N (del April 2015),22/04/2016,Fertilizers,Nitrogens,Yara Prilled 34.5%N (del April 2015),,Sean Lewis,3.36,208.00,58.65,698.88,Kgs,197.08,,,,,,
Adney Loaders (Split A),#5964,4.18,Yara Prilled 34.5%N (del April 2015),22/04/2016,Fertilizers,Nitrogens,Yara Prilled 34.5%N (del April 2015),,Sean Lewis,4.18,208.00,58.66,869.44,Kgs,245.18,,,,,,
Bayley Hills South,SJ7218 6292,12.43,Pastor clopyralid+fluroxypyr+triclopys,27/04/2016,Chemicals,Herbicide,Pastor clopyralid+fluroxypyr+triclopys,,Sean Lewis,12.43,2.00,28.30,24.86,Litres,351.77,,Clear,0.5,08:00,11:00,
Tibberton Grange,SJ6831,4.2,Pastor clopyralid+fluroxypyr+triclopys,27/04/2016,Chemicals,Herbicide,Pastor clopyralid+fluroxypyr+triclopys,,Sean Lewis,4.20,2.00,28.30,8.40,Litres,118.86,,Clear,0.5,08:00,11:00,
Caynton Ancellor,SJ7020 9947,1.5,Pastor clopyralid+fluroxypyr+triclopys,27/04/2016,Chemicals,Herbicide,Pastor clopyralid+fluroxypyr+triclopys,,Sean Lewis,1.50,2.00,28.30,3.00,Litres,42.45,,Clear,0.5,09:00,10:30,
Wet Field Huntington,6818,4.71,Pastor clopyralid+fluroxypyr+triclopys,28/04/2016,Chemicals,Herbicide,Pastor clopyralid+fluroxypyr+triclopys,,Sean Lewis,4.71,2.00,28.30,9.42,Litres,133.29,,Clear,0.7,09:00,11:10,
Opposite Rhodes Huntington (Top),#3302,3.23,Pastor clopyralid+fluroxypyr+triclopys,28/04/2016,Chemicals,Herbicide,Pastor clopyralid+fluroxypyr+triclopys,,Sean Lewis,1.00,2.00,28.30,2.00,Litres,28.30,Top of field,Clear,0.7,09:00,11:10,
Experimental (Part A) Steeraway,#3306,4.95,Pastor clopyralid+fluroxypyr+triclopys,29/04/2016,Chemicals,Herbicide,Pastor clopyralid+fluroxypyr+triclopys,,Sean Lewis,4.95,2.00,28.30,9.90,Litres,140.08,,Clear,0.7,09:00,11:10,
Hinks,SJ7016 5869,1.93,Crop Season Start Marker,01/05/2016,Events/Actions,Arable Events,Crop Season Start Marker,Maize,,,,,,,,,,,,,
Hospital Steeraway,7520,7.13,Spray,03/05/2016,Events/Actions,Arable Physical Actions,Spray,,Sean Lewis,6.00,1.00,0.00,6.00,Hctr,0.00,,,,,,
Hospital Steeraway,7520,7.13,Phase II,03/05/2016,Chemicals,Adjuvant,Phase II,,Sean Lewis,6.00,0.75,2.10,4.50,Litres,12.60,,Clear,1 ms,08:53,11:25,32
Back Lane,SJ6720 6806,4.06,Azural (glyphosate),03/05/2016,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,4.06,4.00,7.10,16.24,Litres,28.83,,,,,,
Teal Pit,SJ6719 7888,5.57,Azural (glyphosate),03/05/2016,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,5.57,4.00,7.10,22.28,Litres,39.55,,,,,,
Hinks,SJ7016 5869,1.93,Azural (glyphosate),03/05/2016,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,1.70,4.00,7.10,6.80,Litres,12.07,,,,09:00,10:30,
First Foxhole,SJ7120 4205,2.12,Rubric epoxiconazole,03/05/2016,Chemicals,Fungicides,Rubric epoxiconazole,,Sean Lewis,1.20,0.60,10.79,0.72,Litres,12.95,,Cloudy,1 ms,10:50,18:10,32
Large Pitt,SJ7119 9756,3.91,Rubric epoxiconazole,03/05/2016,Chemicals,Fungicides,Rubric epoxiconazole,,Sean Lewis,3.91,0.60,10.79,2.35,Litres,42.18,,Cloudy,1 ms,10:50,18:10,32
Hospital Steeraway,7520,7.13,Rubric epoxiconazole,03/05/2016,Chemicals,Fungicides,Rubric epoxiconazole,,Sean Lewis,6.00,0.60,10.79,3.60,Litres,64.73,,Clear,1 ms,08:53,11:25,32
First Foxhole,SJ7120 4205,2.12,Vertisan penthiopyrad,03/05/2016,Chemicals,Fungicides,Vertisan penthiopyrad,,Sean Lewis,1.20,0.75,18.71,0.90,Litres,22.45,,Cloudy,1 ms,10:50,18:10,32
Large Pitt,SJ7119 9756,3.91,Vertisan penthiopyrad,03/05/2016,Chemicals,Fungicides,Vertisan penthiopyrad,,Sean Lewis,3.91,0.75,18.72,2.93,Litres,73.18,,Cloudy,1 ms,10:50,18:10,32
Hospital Steeraway,7520,7.13,Vertisan penthiopyrad,03/05/2016,Chemicals,Fungicides,Vertisan penthiopyrad,,Sean Lewis,6.00,0.75,18.71,4.50,Litres,112.28,,Clear,1 ms,08:53,11:25,32
First Foxhole,SJ7120 4205,2.12,Barclay Avoca chlorothalonil,03/05/2016,Chemicals,Fungicides,Barclay Avoca chlorothalonil,,Sean Lewis,1.20,1.00,4.00,1.20,Litres,4.80,,Cloudy,1 ms,10:50,18:10,32
Large Pitt,SJ7119 9756,3.91,Barclay Avoca chlorothalonil,03/05/2016,Chemicals,Fungicides,Barclay Avoca chlorothalonil,,Sean Lewis,3.91,1.00,4.00,3.91,Litres,15.64,,Cloudy,1 ms,10:50,18:10,32
Hospital Steeraway,7520,7.13,Barclay Avoca chlorothalonil,03/05/2016,Chemicals,Fungicides,Barclay Avoca chlorothalonil,,Sean Lewis,6.00,1.00,4.00,6.00,Litres,24.00,,Clear,1 ms,08:53,11:25,32
First Foxhole,SJ7120 4205,2.12,Stabilan 750 chlormequat,03/05/2016,Chemicals,Growth Regulators,Stabilan 750 chlormequat,,Sean Lewis,1.20,1.00,1.75,1.20,Litres,2.10,,Cloudy,1 ms,10:50,18:10,32
Large Pitt,SJ7119 9756,3.91,Stabilan 750 chlormequat,03/05/2016,Chemicals,Growth Regulators,Stabilan 750 chlormequat,,Sean Lewis,3.91,1.00,1.75,3.91,Litres,6.84,,Cloudy,1 ms,10:50,18:10,32
Hospital Steeraway,7520,7.13,Stabilan 750 chlormequat,03/05/2016,Chemicals,Growth Regulators,Stabilan 750 chlormequat,,Sean Lewis,6.00,1.00,1.75,6.00,Litres,10.50,,Clear,1 ms,08:53,11:25,32
First Foxhole,SJ7120 4205,2.12,Medax Max trinexapac-ethyl prohexadione-calcium,03/05/2016,Chemicals,Growth Regulators,Medax Max trinexapac-ethyl prohexadione-calcium,,Sean Lewis,1.20,0.20,7.80,0.24,Kgs,9.36,,Cloudy,1 ms,10:50,18:10,32
Large Pitt,SJ7119 9756,3.91,Medax Max trinexapac-ethyl prohexadione-calcium,03/05/2016,Chemicals,Growth Regulators,Medax Max trinexapac-ethyl prohexadione-calcium,,Sean Lewis,3.91,0.20,7.80,0.78,Kgs,30.50,,Cloudy,1 ms,10:50,18:10,32
Hospital Steeraway,7520,7.13,Medax Max trinexapac-ethyl prohexadione-calcium,03/05/2016,Chemicals,Growth Regulators,Medax Max trinexapac-ethyl prohexadione-calcium,,Sean Lewis,6.00,0.20,7.80,1.20,Kgs,46.80,,Clear,1 ms,08:53,11:25,32
Hospital Steeraway,7520,7.13,Clodinastar clodinafop-propargyl,03/05/2016,Chemicals,Herbicide,Clodinastar clodinafop-propargyl,,Sean Lewis,6.00,0.12,11.76,0.72,Litres,70.56,,Clear,1 ms,08:53,11:25,32
Heaford Meadow (Part B),#3474,0.33,Azural (glyphosate),03/05/2016,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,0.33,4.00,7.09,1.32,Litres,2.34,,,,,,
"Longwithy Field (Part A) ",#2137,6.5,Rubric epoxiconazole,03/05/2016,Chemicals,Fungicides,Rubric epoxiconazole,,Sean Lewis,6.50,0.60,10.79,3.90,Litres,70.12,,Cloudy,1 ms,10:50,18:10,32
"Longwithy Field (Part A) ",#2137,6.5,Vertisan penthiopyrad,03/05/2016,Chemicals,Fungicides,Vertisan penthiopyrad,,Sean Lewis,6.50,0.75,18.71,4.88,Litres,121.63,,Cloudy,1 ms,10:50,18:10,32
"Longwithy Field (Part A) ",#2137,6.5,Barclay Avoca chlorothalonil,03/05/2016,Chemicals,Fungicides,Barclay Avoca chlorothalonil,,Sean Lewis,6.50,1.00,4.00,6.50,Litres,26.00,,Cloudy,1 ms,10:50,18:10,32
"Longwithy Field (Part A) ",#2137,6.5,Stabilan 750 chlormequat,03/05/2016,Chemicals,Growth Regulators,Stabilan 750 chlormequat,,Sean Lewis,6.50,1.00,1.75,6.50,Litres,11.38,,Cloudy,1 ms,10:50,18:10,32
"Longwithy Field (Part A) ",#2137,6.5,Medax Max trinexapac-ethyl prohexadione-calcium,03/05/2016,Chemicals,Growth Regulators,Medax Max trinexapac-ethyl prohexadione-calcium,,Sean Lewis,6.50,0.20,7.80,1.30,Kgs,50.70,,Cloudy,1 ms,10:50,18:10,32
Black Britch (Split E),#5970,0.36,Azural (glyphosate),03/05/2016,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,0.36,4.00,7.11,1.44,Litres,2.56,,,,,,
Marlpit Leasow (split D),#5980,0.41,Azural (glyphosate),03/05/2016,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,0.41,4.00,7.10,1.64,Litres,2.91,,,,,,
Near Broad Meadow (Part A),#1606,5.1,Rubric epoxiconazole,03/05/2016,Chemicals,Fungicides,Rubric epoxiconazole,,Sean Lewis,5.10,0.60,10.79,3.06,Litres,55.02,,Cloudy,1 ms,10:50,18:10,32
Near Broad Meadow (Part A),#1606,5.1,Vertisan penthiopyrad,03/05/2016,Chemicals,Fungicides,Vertisan penthiopyrad,,Sean Lewis,5.10,0.75,18.71,3.83,Litres,95.43,,Cloudy,1 ms,10:50,18:10,32
Near Broad Meadow (Part A),#1606,5.1,Barclay Avoca chlorothalonil,03/05/2016,Chemicals,Fungicides,Barclay Avoca chlorothalonil,,Sean Lewis,5.10,0.20,0.78,1.00,Litres,4.00,,Cloudy,1 ms,10:50,18:10,32
Near Broad Meadow (Part A),#1606,5.1,Stabilan 750 chlormequat,03/05/2016,Chemicals,Growth Regulators,Stabilan 750 chlormequat,,Sean Lewis,5.10,1.00,1.75,5.10,Litres,8.92,,Cloudy,1 ms,10:50,18:10,32
Near Broad Meadow (Part A),#1606,5.1,Medax Max trinexapac-ethyl prohexadione-calcium,03/05/2016,Chemicals,Growth Regulators,Medax Max trinexapac-ethyl prohexadione-calcium,,Sean Lewis,5.10,0.20,7.80,1.02,Kgs,39.78,,Cloudy,1 ms,10:50,18:10,32
Birds Nest (Split C),#6569,0.27,Azural (glyphosate),03/05/2016,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,0.27,4.00,7.11,1.08,Litres,1.92,,,,,,
Birds Nest (Split D),#6570,0.29,Azural (glyphosate),03/05/2016,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,0.29,4.00,7.10,1.16,Litres,2.06,,,,,,
Birds Nest (split E),#6571,0.27,Azural (glyphosate),03/05/2016,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,0.27,4.00,7.11,1.08,Litres,1.92,,,,,,
Buttery Hill (split A),#6589,9.48,Rubric epoxiconazole,03/05/2016,Chemicals,Fungicides,Rubric epoxiconazole,,Sean Lewis,9.82,0.60,10.79,5.89,Litres,105.94,,Cloudy,1 ms,10:50,18:10,32
Buttery Hill (split A),#6589,9.48,Vertisan penthiopyrad,03/05/2016,Chemicals,Fungicides,Vertisan penthiopyrad,,Sean Lewis,9.82,0.75,18.71,7.37,Litres,183.76,,Cloudy,1 ms,10:50,18:10,32
Buttery Hill (split A),#6589,9.48,Barclay Avoca chlorothalonil,03/05/2016,Chemicals,Fungicides,Barclay Avoca chlorothalonil,,Sean Lewis,9.82,1.00,4.00,9.82,Litres,39.28,,Cloudy,1 ms,10:50,18:10,32
Buttery Hill (split A),#6589,9.48,Stabilan 750 chlormequat,03/05/2016,Chemicals,Growth Regulators,Stabilan 750 chlormequat,,Sean Lewis,9.82,1.00,1.75,9.82,Litres,17.18,,Cloudy,1 ms,10:50,18:10,32
Buttery Hill (split A),#6589,9.48,Medax Max trinexapac-ethyl prohexadione-calcium,03/05/2016,Chemicals,Growth Regulators,Medax Max trinexapac-ethyl prohexadione-calcium,,Sean Lewis,9.82,0.20,7.80,1.96,Kgs,76.60,,Cloudy,1 ms,10:50,18:10,32
Horse Foxhole (Pt A),#4636,5.25,Rubric epoxiconazole,03/05/2016,Chemicals,Fungicides,Rubric epoxiconazole,,Sean Lewis,5.25,0.60,10.79,3.15,Litres,56.64,,Cloudy,1 ms,10:50,18:00,32
Horse Foxhole (Pt A),#4636,5.25,Vertisan penthiopyrad,03/05/2016,Chemicals,Fungicides,Vertisan penthiopyrad,,Sean Lewis,5.25,0.75,18.71,3.94,Litres,98.25,,Cloudy,1 ms,10:50,18:00,32
Horse Foxhole (Pt A),#4636,5.25,Barclay Avoca chlorothalonil,03/05/2016,Chemicals,Fungicides,Barclay Avoca chlorothalonil,,Sean Lewis,5.25,1.00,4.00,5.25,Litres,21.00,,Cloudy,1 ms,10:50,18:00,32
Horse Foxhole (Pt A),#4636,5.25,Stabilan 750 chlormequat,03/05/2016,Chemicals,Growth Regulators,Stabilan 750 chlormequat,,Sean Lewis,5.25,1.00,1.75,5.25,Litres,9.19,,Cloudy,1 ms,10:50,18:00,32
Horse Foxhole (Pt A),#4636,5.25,Medax Max trinexapac-ethyl prohexadione-calcium,03/05/2016,Chemicals,Growth Regulators,Medax Max trinexapac-ethyl prohexadione-calcium,,Sean Lewis,5.25,0.20,7.80,1.05,Kgs,40.95,,Cloudy,1 ms,10:50,18:00,32
Adney Corner (Split A),#5961,16.29,Rubric epoxiconazole,03/05/2016,Chemicals,Fungicides,Rubric epoxiconazole,,Sean Lewis,16.29,0.60,10.79,9.77,Litres,175.74,,Cloudy,1 ms,10:50,18:10,32
Adney Corner (Split A),#5961,16.29,Vertisan penthiopyrad,03/05/2016,Chemicals,Fungicides,Vertisan penthiopyrad,,Sean Lewis,16.29,0.75,19.50,12.22,Litres,317.67,,Cloudy,1 ms,10:50,18:10,32
Adney Corner (Split A),#5961,16.29,Barclay Avoca chlorothalonil,03/05/2016,Chemicals,Fungicides,Barclay Avoca chlorothalonil,,Sean Lewis,16.29,1.00,4.00,16.29,Litres,65.16,,Cloudy,1 ms,10:50,18:10,32
Adney Corner (Split A),#5961,16.29,Stabilan 750 chlormequat,03/05/2016,Chemicals,Growth Regulators,Stabilan 750 chlormequat,,Sean Lewis,16.29,1.00,1.75,16.29,Litres,28.51,,Cloudy,1 ms,10:50,18:10,32
Adney Corner (Split A),#5961,16.29,Medax Max trinexapac-ethyl prohexadione-calcium,03/05/2016,Chemicals,Growth Regulators,Medax Max trinexapac-ethyl prohexadione-calcium,,Sean Lewis,16.29,0.20,7.80,3.26,Kgs,127.06,,Cloudy,1 ms,10:50,18:10,32
Large Marsh (Part A),#3476,4.67,Rubric epoxiconazole,03/05/2016,Chemicals,Fungicides,Rubric epoxiconazole,,Sean Lewis,4.67,0.60,10.79,2.80,Litres,50.38,,Cloudy,1 ms,10:50,18:10,32
Large Marsh (Part A),#3476,4.67,Vertisan penthiopyrad,03/05/2016,Chemicals,Fungicides,Vertisan penthiopyrad,,Sean Lewis,4.67,0.75,18.72,3.50,Litres,87.40,,Cloudy,1 ms,10:50,18:10,32
Large Marsh (Part A),#3476,4.67,Barclay Avoca chlorothalonil,03/05/2016,Chemicals,Fungicides,Barclay Avoca chlorothalonil,,Sean Lewis,4.67,1.00,4.00,4.67,Litres,18.68,,Cloudy,1 ms,10:50,18:10,32
Large Marsh (Part A),#3476,4.67,Stabilan 750 chlormequat,03/05/2016,Chemicals,Growth Regulators,Stabilan 750 chlormequat,,Sean Lewis,4.67,1.00,1.75,4.67,Litres,8.17,,Cloudy,1 ms,10:50,18:10,32
Large Marsh (Part A),#3476,4.67,Medax Max trinexapac-ethyl prohexadione-calcium,03/05/2016,Chemicals,Growth Regulators,Medax Max trinexapac-ethyl prohexadione-calcium,,Sean Lewis,4.67,0.20,7.80,0.93,Kgs,36.43,,Cloudy,1 ms,10:50,18:10,32
Upper New Works Steeraway,SJ6600,13.99,Phase II,04/05/2016,Chemicals,Adjuvant,Phase II,,Sean Lewis,13.99,0.75,2.10,10.49,Litres,29.38,,Clear,1 ms,09:00,11:25,32
Lower New Works Steeraway,SJ6550,4.11,Phase II,04/05/2016,Chemicals,Adjuvant,Phase II,,Sean Lewis,4.11,0.75,2.10,3.08,Litres,8.63,,Clear,1 ms,09:00,11:25,32
Upper New Works Steeraway,SJ6600,13.99,Rubric epoxiconazole,04/05/2016,Chemicals,Fungicides,Rubric epoxiconazole,,Sean Lewis,13.99,0.60,10.79,8.39,Litres,150.92,,Clear,1 ms,09:00,11:25,32
